run_id,frame,time_ps,combined_frame_index,n_contact_pairs
RUN1,100,4.888821,0,8
RUN1,110,5.3777031,1,9
RUN1,120,5.8665852,2,11
RUN1,130,6.3554673,3,10
RUN1,140,6.8443494000000005,4,10
RUN1,150,7.3332315,5,12
RUN1,160,7.8221136,6,8
RUN1,170,8.3109957,7,7
RUN1,180,8.7998778,8,7
RUN1,190,9.2887599,9,8
RUN1,200,9.777642,10,9
RUN1,210,10.2665241,11,6
RUN1,220,10.7554062,12,10
RUN1,230,11.244288300000001,13,10
RUN1,240,11.7331704,14,7
RUN1,250,12.2220525,15,9
RUN1,260,12.7109346,16,8
RUN1,270,13.1998167,17,9
RUN1,280,13.688698800000001,18,3
RUN1,290,14.1775809,19,4
RUN1,300,14.666463,20,6
RUN1,310,15.1553451,21,12
RUN1,320,15.6442272,22,6
RUN1,330,16.1331093,23,8
RUN1,340,16.6219914,24,4
RUN1,350,17.1108735,25,9
RUN1,360,17.5997556,26,5
RUN1,370,18.0886377,27,5
RUN1,380,18.5775198,28,11
RUN1,390,19.0664019,29,6
RUN1,400,19.555284,30,4
RUN1,410,20.0441661,31,8
RUN1,420,20.5330482,32,9
RUN1,430,21.0219303,33,8
RUN1,440,21.5108124,34,9
RUN1,450,21.9996945,35,8
RUN1,460,22.488576600000002,36,9
RUN1,470,22.9774587,37,5
RUN1,480,23.4663408,38,7
RUN1,490,23.9552229,39,7
RUN1,500,24.444105,40,9
RUN1,510,24.932987100000002,41,9
RUN1,520,25.4218692,42,10
RUN1,530,25.9107513,43,9
RUN1,540,26.3996334,44,9
RUN1,550,26.8885155,45,9
RUN1,560,27.377397600000002,46,10
RUN1,570,27.8662797,47,8
RUN1,580,28.3551618,48,9
RUN1,590,28.8440439,49,10
RUN1,600,29.332926,50,6
RUN1,610,29.821808100000002,51,9
RUN1,620,30.3106902,52,12
RUN1,630,30.7995723,53,11
RUN1,640,31.2884544,54,14
RUN1,650,31.7773365,55,11
RUN1,660,32.2662186,56,10
RUN1,670,32.7551007,57,12
RUN1,680,33.2439828,58,13
RUN1,690,33.7328649,59,8
RUN1,700,34.221747,60,12
RUN1,710,34.7106291,61,11
RUN1,720,35.1995112,62,10
RUN1,730,35.6883933,63,10
RUN1,740,36.1772754,64,11
RUN1,750,36.666157500000004,65,12
RUN1,760,37.1550396,66,8
RUN1,770,37.6439217,67,11
RUN1,780,38.1328038,68,7
RUN1,790,38.6216859,69,8
RUN1,800,39.110568,70,9
RUN1,810,39.5994501,71,7
RUN1,820,40.0883322,72,11
RUN1,830,40.5772143,73,11
RUN1,840,41.0660964,74,13
RUN1,850,41.554978500000004,75,11
RUN1,860,42.0438606,76,12
RUN1,870,42.5327427,77,11
RUN1,880,43.0216248,78,12
RUN1,890,43.5105069,79,13
RUN1,900,43.999389,80,12
RUN1,910,44.4882711,81,12
RUN1,920,44.977153200000004,82,10
RUN1,930,45.4660353,83,11
RUN1,940,45.9549174,84,11
RUN1,950,46.443799500000004,85,9
RUN1,960,46.9326816,86,9
RUN1,970,47.4215637,87,10
RUN1,980,47.9104458,88,10
RUN1,990,48.3993279,89,14
RUN1,1000,48.88821,90,16
RUN1,1010,49.3770921,91,15
RUN1,1020,49.865974200000004,92,11
RUN1,1030,50.3548563,93,15
RUN1,1040,50.8437384,94,14
RUN1,1050,51.332620500000004,95,10
RUN1,1060,51.8215026,96,13
RUN1,1070,52.3103847,97,15
RUN1,1080,52.7992668,98,13
RUN1,1090,53.2881489,99,12
RUN2,100,4.888821,100,16
RUN2,110,5.3777031,101,13
RUN2,120,5.8665852,102,13
RUN2,130,6.3554673,103,13
RUN2,140,6.8443494000000005,104,14
RUN2,150,7.3332315,105,13
RUN2,160,7.8221136,106,14
RUN2,170,8.3109957,107,12
RUN2,180,8.7998778,108,11
RUN2,190,9.2887599,109,16
RUN2,200,9.777642,110,16
RUN2,210,10.2665241,111,17
RUN2,220,10.7554062,112,16
RUN2,230,11.244288300000001,113,15
RUN2,240,11.7331704,114,13
RUN2,250,12.2220525,115,14
RUN2,260,12.7109346,116,13
RUN2,270,13.1998167,117,9
RUN2,280,13.688698800000001,118,7
RUN2,290,14.1775809,119,9
RUN2,300,14.666463,120,11
RUN2,310,15.1553451,121,8
RUN2,320,15.6442272,122,10
RUN2,330,16.1331093,123,12
RUN2,340,16.6219914,124,7
RUN2,350,17.1108735,125,12
RUN2,360,17.5997556,126,9
RUN2,370,18.0886377,127,7
RUN2,380,18.5775198,128,7
RUN2,390,19.0664019,129,6
RUN2,400,19.555284,130,12
RUN2,410,20.0441661,131,6
RUN2,420,20.5330482,132,9
RUN2,430,21.0219303,133,10
RUN2,440,21.5108124,134,9
RUN2,450,21.9996945,135,9
RUN2,460,22.488576600000002,136,11
RUN2,470,22.9774587,137,10
RUN2,480,23.4663408,138,10
RUN2,490,23.9552229,139,9
RUN2,500,24.444105,140,14
RUN2,510,24.932987100000002,141,11
RUN2,520,25.4218692,142,9
RUN2,530,25.9107513,143,9
RUN2,540,26.3996334,144,9
RUN2,550,26.8885155,145,13
RUN2,560,27.377397600000002,146,8
RUN2,570,27.8662797,147,13
